, score 93.423249, steps 123, (0.771639 sec/eps)
, score 92.012297, steps 150, (0.940794 sec/eps)
, score 95.178834, steps 86, (0.543931 sec/eps)
, score 95.646768, steps 75, (0.467195 sec/eps)
, score 92.241722, steps 119, (0.755307 sec/eps)
, score 90.819008, steps 158, (0.994812 sec/eps)
, score 93.302247, steps 121, (0.766060 sec/eps)
, score 95.507018, steps 75, (0.472648 sec/eps)
, score 92.194857, steps 144, (0.909781 sec/eps)
, score 89.211167, steps 221, (1.408844 sec/eps)
, score 95.456947, steps 73, (0.464831 sec/eps)
, score 91.125761, steps 152, (0.955981 sec/eps)
, score 95.386364, steps 73, (0.452548 sec/eps)
, score 95.630403, steps 72, (0.443598 sec/eps)
, score 88.982137, steps 166, (1.069536 sec/eps)
, score 95.410051, steps 75, (0.479954 sec/eps)
, score 90.917661, steps 177, (1.119931 sec/eps)
, score 91.467672, steps 115, (0.729428 sec/eps)
, score 90.172028, steps 155, (0.984433 sec/eps)
, score 95.273255, steps 71, (0.452731 sec/eps)
, score 91.192747, steps 115, (0.730321 sec/eps)
, score 95.287426, steps 70, (0.444816 sec/eps)
, score 95.170046, steps 73, (0.465659 sec/eps)
